epoch,train_loss,valid_loss,valid_accuracy,valid_precision,valid_recall,valid_auc,valid_prc,valid_f1
1,0.16684124194575053,0.1473830578958287,0.5558363970588235,0.5346856999749562,0.9660633484162896,0.5294915100278422,0.523891237977969,0.6883765919716266
2,0.14845534131257204,0.13926389462807598,0.5703125,0.5432790224032586,0.9656108597285068,0.5534316894178486,0.5465778702480528,0.6953405017921148
3,0.143793010254846,0.1386058847693836,0.5698529411764706,0.5433333333333333,0.9588235294117647,0.5541355607099552,0.5432285875657843,0.6936170212765957
4,0.14161206123820186,0.13849199103081927,0.5661764705882353,0.5411133810010215,0.9588235294117647,0.5256370119691919,0.5096780262503997,0.6918054195233431
5,0.14072869000208638,0.13797639967764125,0.5700827205882353,0.5437871351072074,0.9524886877828054,0.5668335509165958,0.5727294747327178,0.692320342049005
6,0.14010105135231993,0.1378954988630379,0.5716911764705882,0.5447722567287785,0.9524886877828054,0.5779024128505097,0.6060885516940211,0.6931182087586435
7,0.13945193088402713,0.1380549741580206,0.5893841911764706,0.556505476890195,0.9425339366515837,0.5848154344694136,0.578150010331329,0.6998152192172015
8,0.1387978665476298,0.13759016530478702,0.5831801470588235,0.5515088449531738,0.9592760180995475,0.5810571589118302,0.5690550698358255,0.7003633961017508
9,0.1387089111835417,0.13831125243621714,0.5728400735294118,0.5450577663671373,0.960633484162896,0.5909977565686908,0.638241808378193,0.6954954954954955
10,0.13842992767365309,0.13569621500723503,0.6245404411764706,0.5821917808219178,0.9230769230769231,0.6542718143064165,0.6877896830318171,0.7140357017850891
11,0.13620947518922988,0.13199376720277703,0.6355698529411765,0.5942598187311178,0.8900452488687782,0.6730434406039942,0.7059047483689037,0.7126811594202899
12,0.12971408575446935,0.12384934296064518,0.6888786764705882,0.6499649614576034,0.8393665158371041,0.730655157990798,0.7730166907065328,0.7326224328593997
13,0.12293480739106227,0.11712258517303888,0.6870404411764706,0.6477351916376307,0.8411764705882353,0.7402355814120519,0.7888541194641072,0.7318897637795275
14,0.117569217553539,0.11544119183193235,0.7196691176470589,0.6899462778204144,0.8135746606334842,0.756897389423341,0.8010531729445358,0.7466777408637875
15,0.11461717825736442,0.11813599605332403,0.7221966911764706,0.6892249527410208,0.8248868778280543,0.772241868089619,0.8126816000399282,0.7509783728115346
16,0.1121903740848503,0.1109516884693328,0.7359834558823529,0.7097667062079873,0.8122171945701357,0.7852560933875812,0.8213500042058168,0.7575437856087782
17,0.10908956600040415,0.10990872157408911,0.7506893382352942,0.7333056822895064,0.8,0.7890105665192171,0.8282891440045331,0.7652023371564596
18,0.10715548870881109,0.10709935854024746,0.76171875,0.7394855042874643,0.8194570135746606,0.8048324608878243,0.8345563619743178,0.7774200472204336
19,0.10529638530455367,0.10896269681260866,0.7580422794117647,0.7427612253462023,0.8009049773755657,0.7955735537050416,0.8286365654392502,0.7707380796864796
20,0.10385453298579167,0.10781092667842612,0.7582720588235294,0.7378800328677074,0.8126696832579186,0.8028021766776092,0.8322476529538343,0.7734711455641686
21,0.10115921332833976,0.10634065090733416,0.7736672794117647,0.7458851866720193,0.8407239819004525,0.8223069318225027,0.8450789171816402,0.7904701127419699
22,0.1002392243104477,0.10902334223775302,0.7580422794117647,0.7276662731208186,0.8366515837104073,0.80675691090916,0.8332804483937176,0.778362450010524
23,0.09793736249969824,0.108200724948855,0.7805606617647058,0.7543575192541548,0.8420814479638009,0.8252884562573144,0.8453865828427527,0.7958092794526406
24,0.09735336372234525,0.10148919318967006,0.7961856617647058,0.7771260997067448,0.8393665158371041,0.8390352822878775,0.8543446533685106,0.8070480748314118
25,0.094771111696741,0.10556643642485142,0.7828584558823529,0.7621218400331538,0.8321266968325792,0.8264215791897453,0.8438331604049413,0.7955872809863724
26,0.0944478038399324,0.10651329028255799,0.7876838235294118,0.7628781684382666,0.8443438914027149,0.8305083421000377,0.8451182697678998,0.8015463917525772
27,0.09289004100337081,0.1067354561870589,0.7778033088235294,0.7562886597938144,0.8298642533936652,0.8162650882374065,0.8380624837221378,0.7913700107874865
28,0.09157005721961495,0.10046178672243566,0.7998621323529411,0.7685519454472524,0.8669683257918552,0.846094908551656,0.8586390729931597,0.8147990644269615
29,0.09032650937727332,0.10225296436863787,0.8010110294117647,0.7802335279399499,0.846606334841629,0.8394237634722064,0.8542294208585823,0.8120659722222222
30,0.08987004059727174,0.10067363423021401,0.8092830882352942,0.7951240376390077,0.8411764705882353,0.8482872183564225,0.8606982556337999,0.8175021987686895
31,0.08849738686461084,0.10205488520510056,0.8000919117647058,0.7766308835672997,0.851131221719457,0.8458633830606149,0.8585308396856746,0.8121761658031088
32,0.08737685909345203,0.10006780538927107,0.8081341911764706,0.7858627858627859,0.8552036199095022,0.8501992048704851,0.8618963681595584,0.819068255687974
33,0.08692335389065046,0.10011864354943528,0.8026194852941176,0.7716123843988741,0.8683257918552036,0.8514766087430446,0.8633165778864547,0.8171173089205876
34,0.0852447010331998,0.10052848519647822,0.80078125,0.7663625545418484,0.8742081447963801,0.8516707437122663,0.8633262569138342,0.8167406467977172
35,0.08585642609935608,0.10093269223237739,0.7945772058823529,0.766612641815235,0.8561085972850678,0.84534942182001,0.8610566713602943,0.8088926891834117
36,0.08320518912081301,0.09947582027491401,0.8072150735294118,0.7867001254705144,0.851131221719457,0.8523173673692706,0.8653383527127892,0.8176483373179744
37,0.08200608891346593,0.10164869269903969,0.8030790441176471,0.7812889812889813,0.8502262443438914,0.8501642436763543,0.8646074615272319,0.8143011917659805
38,0.08132271248384984,0.09778104623889222,0.8033088235294118,0.7772317772317773,0.8588235294117647,0.8560186065376377,0.8702593219060457,0.8159931212381771
39,0.08029688999437502,0.09831521660089493,0.8090533088235294,0.7940298507462686,0.8425339366515837,0.8569791415812177,0.8712038172580746,0.8175631174533479
40,0.08024962560484444,0.09924658639904331,0.8044577205882353,0.7815996684624948,0.853393665158371,0.8522928628464961,0.8671401455482883,0.8159203980099503
41,0.07843105523527538,0.09724547188071643,0.8010110294117647,0.7679425837320574,0.8714932126696833,0.8547016996843987,0.8685387771053827,0.8164476473081813
42,0.07942508177383102,0.0983466519152417,0.8030790441176471,0.7757847533632287,0.8610859728506788,0.8545734734316048,0.8686737733596611,0.8162127385803131
43,0.07807713063148251,0.09595536506351303,0.8143382352941176,0.7865903515944399,0.8705882352941177,0.8628986737983279,0.8755573617328717,0.8264604810996564
44,0.07738373518316415,0.09742679041536416,0.8088235294117647,0.7844756399669695,0.8597285067873304,0.8577577939169634,0.8718234867602519,0.8203799654576857
45,0.0760441160196588,0.0948265201466925,0.8205422794117647,0.795614398014067,0.8701357466063349,0.8695821767621075,0.8804573943114066,0.8312081262156904
46,0.07444452928093663,0.0976361314601758,0.8161764705882353,0.7952261306532663,0.8592760180995475,0.8654173584969433,0.8789186749809597,0.8260113092648977
47,0.07420640771895864,0.09647085090332172,0.8226102941176471,0.8000834724540902,0.867420814479638,0.8687397281687939,0.880578691314529,0.8323925314806774
48,0.07340609645267038,0.09606375139864053,0.8108915441176471,0.7874015748031497,0.8597285067873304,0.8618884959715409,0.8722800276844609,0.8219770711659097
49,0.07377837262503857,0.09505188607555978,0.8246783088235294,0.8064379500211775,0.8615384615384616,0.8716505908547432,0.8821269359648569,0.8330781010719754
50,0.07251490528838042,0.09708193788195357,0.8180147058823529,0.7984006734006734,0.8583710407239818,0.8673468784195427,0.879838290715282,0.8273004797208896
51,0.07161366387549108,0.09765204984475584,0.8189338235294118,0.7913934426229509,0.8737556561085973,0.8652578678530236,0.8791089429100296,0.8305376344086022
52,0.07066616282737168,0.09592435969149365,0.8154871323529411,0.7882015567390414,0.8705882352941177,0.8652367432644249,0.8770026926146066,0.8273489572135024
53,0.07017079617039565,0.096451052081059,0.82421875,0.8034439311213776,0.8656108597285068,0.8724813153013846,0.883911329857958,0.8333696362448269
54,0.06897082926202429,0.09682044562171488,0.8244485294117647,0.800498753117207,0.8714932126696833,0.8716076023169449,0.8833983630409735,0.8344887348353554
55,0.06839989343263807,0.09656467244905584,0.8210018382352942,0.7931175747644408,0.8760180995475113,0.8720175249587014,0.8829199483593485,0.8325091378198236
56,0.0686690466220144,0.09710018533994169,0.8196231617647058,0.7982419422352449,0.86289592760181,0.86869230346739,0.8799850792412145,0.8293107197216786
57,0.06702313421253306,0.0954589236746816,0.8246783088235294,0.8077413866439813,0.8592760180995475,0.8706803385004077,0.8815258447981608,0.8327121245340934
58,0.06669392259995433,0.09489215121549718,0.8297334558823529,0.8097849008857022,0.8687782805429864,0.8738152274484454,0.8839013140257731,0.8382449246889326
59,0.0662352500660141,0.09528759472510394,0.8295036764705882,0.8126064735945485,0.8633484162895928,0.8746504936816356,0.8856318464394661,0.8372093023255813
60,0.06562979387486503,0.09735572195666678,0.8299632352941176,0.8165374677002584,0.857918552036199,0.8748013232442298,0.8865903385354612,0.8367166813768755
61,0.06490983833035413,0.10014819375732366,0.8182444852941176,0.7977339488040285,0.8601809954751132,0.8657316923752911,0.877586515625524,0.8277814064881341
62,0.0634214815133027,0.0965156478478628,0.8262867647058824,0.8014096185737977,0.8746606334841629,0.8740433730053108,0.8838617619601468,0.8364344439636522
63,0.06313618512511471,0.0999150977415197,0.82421875,0.7950183748468763,0.8809954751131222,0.8708364492101517,0.8803949657698474,0.8358016741790084
64,0.06325437919828143,0.09567933924057904,0.8249080882352942,0.7952691680261011,0.8823529411764706,0.8720221723681931,0.8821503789571663,0.8365508365508365
65,0.0625300357376572,0.09549485738663112,0.8253676470588235,0.7995867768595041,0.8755656108597285,0.8745962034889371,0.8849041309774307,0.8358531317494601
66,0.06141493481713055,0.09858896134092528,0.8283547794117647,0.8098263447691656,0.865158371040724,0.8747005589566142,0.8856212610642016,0.8365784292277401
67,0.06168888033415279,0.09807780790416633,0.8313419117647058,0.8116554054054054,0.869683257918552,0.8746090894879821,0.8845285406937369,0.8396679772826562
68,0.06048918605177072,0.10399643408463281,0.8246783088235294,0.8015839933305544,0.8701357466063349,0.8723116848549374,0.8818251186236685,0.8344543284877414
69,0.06001502687424204,0.09677865252117901,0.8272058823529411,0.8078547297297297,0.8656108597285068,0.876411016895446,0.8847882811664679,0.8357361293141109
70,0.06003090589694733,0.09820032777155147,0.8324908088235294,0.810482180293501,0.8746606334841629,0.8776877870303477,0.8888198088892733,0.8413492927094668
71,0.05936909025113513,0.09989793335690218,0.8267463235294118,0.8038397328881469,0.8714932126696833,0.8732393711632467,0.8837287205842144,0.8363004776378636
72,0.05834401987601806,0.09780630359754842,0.8253676470588235,0.8111587982832618,0.8552036199095022,0.8728681065186256,0.8821382976619232,0.8325991189427313
73,0.0581306548394861,0.10235522062901188,0.8285845588235294,0.806276150627615,0.8719457013574661,0.8743978436019958,0.8853434692374532,0.8378260869565217
74,0.05791620848985919,0.09673400398562937,0.8262867647058824,0.7996702390766695,0.8778280542986425,0.8739482067336739,0.8821834765833235,0.8369283865401208
75,0.05783121062809751,0.0993796302115216,0.8331801470588235,0.8141405588484335,0.8701357466063349,0.8759513458475395,0.8851636350216556,0.8412073490813649
76,0.056557332559821816,0.09961713938152089,0.8278952205882353,0.8039950062421972,0.8742081447963801,0.8762170931721105,0.884798187945424,0.8376327769347496
77,0.05627627222098573,0.099531145328108,0.8304227941176471,0.8069224353628023,0.8755656108597285,0.8778320679704763,0.8860580000290706,0.83984375
78,0.05635502076551427,0.10156960456686862,0.828125,0.8050918196994992,0.8728506787330317,0.8738701513788019,0.8821487807691821,0.8376031263569257
79,0.05553450673329134,0.10050302963046466,0.8272058823529411,0.8073355817875211,0.8665158371040724,0.8742986636585253,0.884815368439949,0.8358795285901354
