epoch,train_loss,valid_loss,valid_accuracy,valid_precision,valid_recall,valid_auc,valid_prc,valid_f1
1,0.18205545197671918,0.14227566216140985,0.4794921875,0.4988009592326139,0.783427495291902,0.4290805743688475,0.4849434366718256,0.6095238095238095
2,0.16546425623680228,0.13770548161119223,0.5390625,0.5401360544217687,0.7476459510357816,0.5529656242001963,0.5714909897133109,0.627172195892575
3,0.15695603814587664,0.13740317802876234,0.56640625,0.5528554070473876,0.8568738229755178,0.5747202835936633,0.5861909229013901,0.6720827178729689
4,0.14842539625381357,0.13801137544214725,0.5615234375,0.5446623093681917,0.9416195856873822,0.5755683142144448,0.5945163663063497,0.6901311249137335
5,0.1452258255944323,0.13637445028871298,0.58203125,0.5625759416767923,0.871939736346516,0.6112390796957786,0.6568823254465399,0.6838995568685377
6,0.14365951227608012,0.138015266507864,0.57421875,0.5515743756786102,0.9566854990583804,0.5974872317912163,0.6399553031233541,0.699724517906336
7,0.14153152615276735,0.13815064076334238,0.5810546875,0.5570469798657718,0.9378531073446328,0.6284212496609787,0.6604575872526581,0.6989473684210527
8,0.14107945272281988,0.13615712523460388,0.6142578125,0.5821256038647343,0.9077212806026366,0.6762929601998602,0.7294346718881256,0.7093451066961001
9,0.14107795460010641,0.13847255520522594,0.5849609375,0.5586283185840708,0.9510357815442562,0.6439531978776314,0.6991266559938265,0.7038327526132405
10,0.14028568699288724,0.13743629306554794,0.572265625,0.5535097813578826,0.9058380414312618,0.5851525882123744,0.6138721468183033,0.6871428571428572
11,0.13860735274962524,0.13565500732511282,0.5966796875,0.5664414414414415,0.9472693032015066,0.6614715241249431,0.7180677185047319,0.7089499647639183
12,0.13814295450253272,0.13153337687253952,0.6376953125,0.6012658227848101,0.8945386064030132,0.7241875904852493,0.7774467297812571,0.7191521574564725
13,0.136415348568959,0.12520461343228817,0.697265625,0.6942003514938488,0.743879472693032,0.7383519938269483,0.782570671354115,0.7181818181818183
14,0.1241126033797193,0.11247271671891212,0.75390625,0.7719298245614035,0.7457627118644068,0.8051401351501052,0.8234989156235226,0.7586206896551725
15,0.11255892855462743,0.1240141075104475,0.7744140625,0.7321981424148607,0.8907721280602636,0.8213329360577273,0.8390634203505045,0.8037383177570093
16,0.10183534359754022,0.11645377008244395,0.8095703125,0.7692307692307693,0.903954802259887,0.8635396492514793,0.8792741423462591,0.8311688311688311
17,0.09600467457255321,0.10180992726236582,0.8251953125,0.802405498281787,0.879472693032015,0.8703582738374913,0.8850083269049713,0.839173405211141
18,0.08838933672922761,0.08098076283931732,0.8505859375,0.8648648648648649,0.8436911487758946,0.9046653144016227,0.9164421114273537,0.8541468064823642
19,0.08472902066449621,0.0845771306194365,0.8505859375,0.8552631578947368,0.8568738229755178,0.905654683459201,0.9203789039826501,0.8560677328316086
20,0.07999194924955938,0.08202807605266571,0.8515625,0.8797595190380761,0.8267419962335216,0.9039166026823742,0.9166750539438073,0.8524271844660195
21,0.07457931712269783,0.09616198670119047,0.849609375,0.8136439267886856,0.9209039548022598,0.9123396095239186,0.9250618784815432,0.8639575971731449
22,0.07104169744164196,0.08744508447125554,0.8720703125,0.8846153846153846,0.8662900188323918,0.9205792583934022,0.9312070373323705,0.8753568030447193
23,0.06692107861388975,0.08467405056580901,0.8798828125,0.8938223938223938,0.871939736346516,0.922248579930706,0.9336298732435486,0.882745471877979
24,0.06365460574404518,0.07727638073265553,0.8701171875,0.9044715447154471,0.8380414312617702,0.9220652219586452,0.9318028614765113,0.8699902248289345
25,0.05796495174516493,0.07394620729610324,0.861328125,0.9147121535181236,0.807909604519774,0.9292696622775352,0.9407098430768078,0.8580000000000001
26,0.053931270072709266,0.07371658552438021,0.88671875,0.9158316633266533,0.8606403013182674,0.933525095212447,0.9413486883895572,0.8873786407766991
27,0.05062926168650834,0.07826363062486053,0.865234375,0.8815533980582524,0.8549905838041432,0.9218742240710818,0.9306853701881261,0.8680688336520076
28,0.04810003663844137,0.06221714592538774,0.90234375,0.9200779727095516,0.8888888888888888,0.9484000106958816,0.9540337479365721,0.9042145593869731
29,0.049084313269426576,0.0813073858153075,0.845703125,0.9028077753779697,0.7871939736346516,0.9063499157699316,0.9229269541538012,0.841046277665996
30,0.042310566808194366,0.05986013519577682,0.9052734375,0.9141221374045801,0.9020715630885122,0.9526630835462961,0.9577420053397628,0.9080568720379146
31,0.04263562981539698,0.06410895078442991,0.888671875,0.9001919385796545,0.8832391713747646,0.9442706363667618,0.9546716695910077,0.8916349809885932
32,0.03982518946946557,0.06167640956118703,0.8974609375,0.9294354838709677,0.8681732580037664,0.9512420592628248,0.9577241686326698,0.8977604673807206
33,0.03622946810366502,0.0704137331340462,0.9072265625,0.9082397003745318,0.9133709981167608,0.9485413491326785,0.9529173184961478,0.9107981220657277
34,0.0359924509565332,0.06798122194595635,0.8916015625,0.8903345724907064,0.9020715630885122,0.9431170091258791,0.9472345198361896,0.8961646398503273
